id,oss_country_id:id,general_rate,reduced_rate,superreduced_rate,second_superreduced_rate
oss_eu_rate_at,base.at,0.20,0.13,0.10,0
oss_eu_rate_be,base.be,0.21,0.12,0.06,0
oss_eu_rate_bg,base.bg,0.20,0.09,0,0
oss_eu_rate_hr,base.hr,0.25,0.13,0.05,0
oss_eu_rate_cy,base.cy,0.19,0.09,0.05,0
oss_eu_rate_cz,base.cz,0.21,0.15,0.10,0
oss_eu_rate_dk,base.dk,0.25,0,0,0
oss_eu_rate_ee,base.ee,0.20,0.09,0,0
oss_eu_rate_fi,base.fi,0.24,0.14,0.10,0
oss_eu_rate_fr,base.fr,0.20,0.10,0.055,0.021
oss_eu_rate_de,base.de,0.19,0.07,0,0
oss_eu_rate_gr,base.gr,0.24,0.13,0.06,0
oss_eu_rate_hu,base.hu,0.27,0.18,0.05,0
oss_eu_rate_ie,base.ie,0.23,0.135,0.09,0.048
oss_eu_rate_it,base.it,0.22,0.10,0.05,0.04
oss_eu_rate_lv,base.lv,0.21,0.012,0.05,0
oss_eu_rate_lt,base.lt,0.21,0.09,0.05,0
oss_eu_rate_lu,base.lu,0.17,0.14,0.08,0.03
oss_eu_rate_mt,base.mt,0.18,0.07,0.05,0
oss_eu_rate_nl,base.nl,0.21,0.09,0,0
oss_eu_rate_pl,base.pl,0.23,0.08,0.05,0
oss_eu_rate_pt,base.pt,0.23,0.13,0.06,0
oss_eu_rate_ro,base.ro,0.19,0.09,0.05,0
oss_eu_rate_sk,base.sk,0.20,0.10,0,0
oss_eu_rate_si,base.si,0.22,0.095,0,0
oss_eu_rate_es,base.es,0.21,0.10,0.04,0
oss_eu_rate_se,base.se,0.25,0.12,0.06,0
oss_eu_rate_uk,base.uk,0.20,0.5,0,0
